t_epoch,x_m,y_m,Pxx,Pxy,Pyx,Pyy
1.772659571016666651e+09,2.498375072919167394e-03,-2.261648973229929416e-02,4.552519975670251421e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.561637473922322703e-06
1.772659571033333302e+09,2.664515086240406855e-03,-2.343913278558907090e-02,4.590144107700582978e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.599336957177880594e-06
1.772659571049999952e+09,2.866583280797385582e-03,-2.205367293663566819e-02,4.407995531998178320e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.416823585861297096e-06
1.772659571066666603e+09,1.493715247370919165e-03,-2.182754371601542537e-02,4.647760979345359692e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.657069220238688379e-06
1.772659571083333254e+09,3.175761413006165761e-04,-2.062270767135972183e-02,4.390572624757077787e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.399365785126666627e-06
1.772659571099999905e+09,6.150831378065083847e-04,-1.740604031751533110e-02,4.425557267185421994e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.434420492577876010e-06
1.772659571116666555e+09,-1.098485885871784088e-03,-1.402703174095872724e-02,4.407995531998178320e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.416823585861297096e-06
1.772659571133333445e+09,-1.975456949601028453e-03,-1.187166717968941854e-02,4.497226210783565516e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.506232970190471563e-06
1.772659571150000095e+09,-1.654707191229413434e-04,-1.161148486907833365e-02,4.515507618144475559e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.524550990394498969e-06
1.772659571166666746e+09,-2.324767874872585120e-03,-5.488149850666337176e-03,4.515507618144475559e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.524550990394498969e-06
1.772659571183333397e+09,-3.346412984148381710e-03,-4.120933762785470439e-03,4.667289386821600375e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.676636737970784463e-06
1.772659571200000048e+09,-9.706140585392063203e-04,-3.695863407980152018e-03,4.479092234127181592e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.488062675955834843e-06
